Recording_ID,Source,Species,Month,Latitude,Longitude,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,NL_StableLights_Avg,TreeCover,PopulationDensity,ClimateDivisions,Level1Ecoregion,Level1Ecoregion_Edited,KG_ClimateZones,KG_ClimateZones_Edited,Elevation_m,Distance_to_Road_m,Distance_to_Road_km
27388,ML,Pipilo erythrophthalmus,6,40.7709151,-73.1553978,4590.526316,3520.263158,5114.912281,2321.052632,2836.842105,2492.982456,300.877193,1113.245614,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27394,ML,Pipilo erythrophthalmus,6,40.7709151,-73.1553978,5611.598441,3333.528265,6318.421053,2106.140351,4255.263158,3180.701754,1246.491228,2321.052632,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27400,ML,Pipilo erythrophthalmus,6,40.8333333,-73.3333333,5011.754386,2974.385965,5372.807018,2364.035088,3051.754386,2535.964912,472.8070175,2080.350877,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27401,ML,Pipilo erythrophthalmus,6,40.8333333,-73.3333333,5062.378168,3013.547758,6361.403509,2321.052632,4083.333333,3309.649123,816.6666667,2091.812865,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27404,ML,Pipilo erythrophthalmus,6,40.7709151,-73.1553978,5817.675439,3384.868421,6533.333333,2192.105263,4384.210526,3094.736842,1375.438596,2475.789474,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27407,ML,Pipilo erythrophthalmus,6,40.7709151,-73.1553978,4671.862348,3640.283401,4814.035088,2235.087719,2621.929825,1504.385965,816.6666667,1074.561404,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27409,ML,Pipilo erythrophthalmus,6,40.7709151,-73.1553978,5558.16886,3513.815789,7521.929825,1977.192982,5587.719298,2621.929825,902.6315789,2087.335526,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27412,ML,Pipilo erythrophthalmus,6,40.7709151,-73.1553978,4893.859649,2738.596491,6361.403509,2063.157895,4341.22807,2707.894737,558.7719298,2198.245614,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27418,ML,Pipilo erythrophthalmus,6,40.7709151,-73.1553978,6603.947368,3469.298246,7221.052632,2750.877193,4513.157895,3997.368421,300.877193,3177.631579,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27436,ML,Pipilo erythrophthalmus,7,40.7709151,-73.1553978,4337.198465,3824.095395,5888.596491,2149.122807,3782.45614,2450,343.8596491,556.0855263,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27442,ML,Pipilo erythrophthalmus,7,40.7709151,-73.1553978,4286.934441,3069.852262,5372.807018,1934.210526,3481.578947,2836.842105,429.8245614,1260.064635,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27453,ML,Pipilo erythrophthalmus,7,40.8333333,-73.3333333,4688.995215,3329.186603,5759.649123,2235.087719,3567.54386,3567.54386,515.7894737,1402.791069,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27458,ML,Pipilo erythrophthalmus,7,40.8333333,-73.3333333,4562.753036,3921.322537,4900,2621.929825,2321.052632,988.5964912,343.8596491,684.4129555,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27461,ML,Pipilo erythrophthalmus,7,40.7709151,-73.1553978,4593.75,2877.138158,7435.964912,1848.245614,5630.701754,3223.684211,1117.54386,1759.594298,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27463,ML,Pipilo erythrophthalmus,7,40.7709151,-73.1553978,4760.307018,2535.964912,5458.77193,1977.192982,3524.561404,2922.807018,1633.333333,2267.324561,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27467,ML,Pipilo erythrophthalmus,7,40.8333333,-73.3333333,4781.798246,2901.315789,5114.912281,1719.298246,3438.596491,3438.596491,902.6315789,1923.464912,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27469,ML,Pipilo erythrophthalmus,7,40.7709151,-73.1553978,4580.701754,2210.526316,4985.964912,1805.263158,3223.684211,3223.684211,601.754386,2413.157895,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27470,ML,Pipilo erythrophthalmus,7,40.7709151,-73.1553978,5342.719298,2828.245614,6963.157895,2278.070175,4728.070175,4513.157895,644.7368421,2557.45614,53,100,55.20898,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,13,1914.681158,1.914681158
27477,ML,Pipilo erythrophthalmus,7,40.8333333,-73.3333333,4606.28655,2543.128655,6189.473684,1762.280702,4470.175439,4470.175439,515.7894737,2106.140351,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
27486,ML,Pipilo erythrophthalmus,7,40.8333333,-73.3333333,5337.639553,3325.279107,6576.315789,2063.157895,4556.140351,4169.298246,601.754386,2055.342903,62,0,501.81921,COASTAL,EASTERN TEMPERATE FORESTS,EASTERN TEMPERATE FORESTS,Dfa: Humid Continental Hot Summers with Year-round Precipitation,Dfa: Humid Continental Hot Summers with Year-round Precipitation,58,358.9845626,0.358984563
