Pair,Mean_Residual,T_test_pval,n,Overall_Mean_Residual,Feature,P_value_adj
MEDITERRANEAN CALIFORNIA_SOUTHERN SEMIARID HIGHLANDS,0.081303963,3.38109799362785e-31,17716,4.42845242586449e-16,min_sylls_freq_Hz,1.13227467693584e-30
MEDITERRANEAN CALIFORNIA_TEMPERATE SIERRAS,-0.03932,1.34073028980483e-11,22866,4.42845242586449e-16,min_sylls_freq_Hz,2.42849260040121e-11
MEDITERRANEAN CALIFORNIA_TROPICAL DRY FORESTS,-0.029903915,0.144493406,2060,4.42845242586449e-16,min_sylls_freq_Hz,0.159440999
NORTH AMERICAN DESERTS_NORTH AMERICAN DESERTS,0.008007548,0.349981415,10585,4.42845242586449e-16,min_sylls_freq_Hz,0.365197999
NORTH AMERICAN DESERTS_NORTHWESTERN FORESTED MOUNTAINS,-0.005724792,0.33148685,24236,4.42845242586449e-16,min_sylls_freq_Hz,0.349700413
NORTH AMERICAN DESERTS_SOUTHERN SEMIARID HIGHLANDS,0.014450184,0.061651091,12556,4.42845242586449e-16,min_sylls_freq_Hz,0.072471487
NORTH AMERICAN DESERTS_TEMPERATE SIERRAS,-0.000755734,0.914384953,16206,4.42845242586449e-16,min_sylls_freq_Hz,0.927263615
NORTH AMERICAN DESERTS_TROPICAL DRY FORESTS,-0.120374248,6.29588343773431e-09,1460,4.42845242586449e-16,min_sylls_freq_Hz,1.03023547162925e-08
NORTHWESTERN FORESTED MOUNTAINS_NORTHWESTERN FORESTED MOUNTAINS,0.014381363,0.070614718,13695,4.42845242586449e-16,min_sylls_freq_Hz,0.081674854
NORTHWESTERN FORESTED MOUNTAINS_SOUTHERN SEMIARID HIGHLANDS,0.059423291,9.57804362562027e-15,14276,4.42845242586449e-16,min_sylls_freq_Hz,2.04331597346566e-14
NORTHWESTERN FORESTED MOUNTAINS_TEMPERATE SIERRAS,-0.049956234,1.43634173812211e-14,18426,4.42845242586449e-16,min_sylls_freq_Hz,2.99758275782006e-14
NORTHWESTERN FORESTED MOUNTAINS_TROPICAL DRY FORESTS,0.055236725,0.014461316,1660,4.42845242586449e-16,min_sylls_freq_Hz,0.018187158
SOUTHERN SEMIARID HIGHLANDS_SOUTHERN SEMIARID HIGHLANDS,0.120002201,1.31009944950759e-14,3655,4.42845242586449e-16,min_sylls_freq_Hz,2.75407767487727e-14
SOUTHERN SEMIARID HIGHLANDS_TEMPERATE SIERRAS,-0.04893732,2.96526585832337e-07,9546,4.42845242586449e-16,min_sylls_freq_Hz,4.54253493189964e-07
SOUTHERN SEMIARID HIGHLANDS_TROPICAL DRY FORESTS,-0.065128737,0.015611966,860,4.42845242586449e-16,min_sylls_freq_Hz,0.019548896
TEMPERATE SIERRAS_TEMPERATE SIERRAS,0.042552341,0.000570136,6105,4.42845242586449e-16,min_sylls_freq_Hz,0.000781901
TEMPERATE SIERRAS_TROPICAL DRY FORESTS,-0.18910329,1.11645195387167e-15,1110,4.42845242586449e-16,min_sylls_freq_Hz,2.4733704824234e-15
TROPICAL DRY FORESTS_TROPICAL DRY FORESTS,0.010035197,0.935838478,45,4.42845242586449e-16,min_sylls_freq_Hz,0.942382803
