Recording_ID,Species,Latitude,Longitude,Recordist,Date,Source,Month
21422,Pipilo maculatus,34.3611993,-110.8891234,Michael Braun,5/25/77,ML,5
25151,Pipilo maculatus,31.8935,-109.166851,Harriette Barker,6/23/77,ML,6
41174,Pipilo erythrophthalmus,41.3333333,-70.75,Dolly Minis,7/28/78,ML,7
26774,Pipilo erythrophthalmus,36.11038533,-82.11091634,Margery R. Plymire,6/14/79,ML,6
26786,Pipilo erythrophthalmus,36.11374028,-81.81156132,Margery R. Plymire,6/27/79,ML,6
41191,Pipilo erythrophthalmus,41.3333333,-70.75,Dolly Minis,7/22/79,ML,7
67737,Pipilo maculatus,31.91660424,-109.1415638,William W. H. Gunn,4/3/80,ML,4
18721,Pipilo maculatus,48.13980955,-122.7697249,Oliver H. Hewitt,5/23/80,ML,5
25187,Pipilo maculatus,31.8935,-109.166851,Harriette Barker,6/30/80,ML,6
67738,Pipilo maculatus,31.91660424,-109.1415638,William W. H. Gunn,5/22/81,ML,5
39891841,Pipilo erythrophthalmus,42.3635938,-76.6905195,Gregory Budney,5/1/82,ML,5
41393,Pipilo erythrophthalmus,41.3333333,-70.75,Dolly Minis,6/10/83,ML,6
38302,Pipilo erythrophthalmus,30.66269861,-91.99849904,Ted Parker,6/15/84,ML,6
40654,Pipilo maculatus,43.28247217,-124.32158,Geoffrey A. Keller,7/4/85,ML,7
45131,Pipilo maculatus,31.90474823,-109.2800548,Geoffrey A. Keller,5/14/86,ML,5
36954,Pipilo erythrophthalmus,42.38899203,-76.6691157,Arnoud B. van den Berg,7/6/86,ML,7
110983,Pipilo maculatus,37.19494793,-122.1941394,Thomas G. Sander,5/10/87,ML,5
39721,Pipilo maculatus,46.38887885,-100.7984718,Russell C. Titus,7/23/87,ML,7
111031,Pipilo maculatus,37.90936143,-122.6862061,Thomas G. Sander,4/11/88,ML,4
111034,Pipilo maculatus,38.03394637,-122.734159,Thomas G. Sander,4/14/88,ML,4
215558,Pipilo maculatus,17.19401708,-96.63475434,Steve N. G. Howell,4/23/88,ML,4
175791,Pipilo maculatus,38.26542,-121.439463,Gregory Budney,6/10/88,ML,6
45374,Pipilo maculatus,39.7,-120.3833333,Randolph Little,6/8/89,ML,6
44576,Pipilo maculatus,39.5668,-120.602781,Gregory Budney,6/9/89,ML,6
44981,Pipilo maculatus,44.30931851,-121.6297771,Geoffrey A. Keller,6/20/89,ML,6
215739,Pipilo maculatus,25.229308,-100.4182148,Steve N. G. Howell,4/3/90,ML,4
215621,Pipilo maculatus,24.8698977,-100.2339363,Steve N. G. Howell,4/7/90,ML,4
111110,Pipilo maculatus,44.29646949,-121.5543794,Thomas G. Sander,4/21/90,ML,4
50216,Pipilo maculatus,39.2864916,-111.4248017,Geoffrey A. Keller,6/6/90,ML,6
48864,Pipilo maculatus,39.5666667,-120.6166667,David Moyer,6/10/90,ML,6
50242,Pipilo maculatus,43.68763186,-102.2282952,Geoffrey A. Keller,6/12/90,ML,6
49747,Pipilo maculatus,40,-111.75,Kevin J. Colver,7/2/90,ML,7
136121,Pipilo maculatus,31.912,-109.1426,Dan Lane,7/5/90,XC,7
49762,Pipilo maculatus,40,-111.75,Kevin J. Colver,7/7/90,ML,7
55076,Pipilo maculatus,40.0715307,-111.4291257,Kevin J. Colver,4/19/91,ML,4
73881,Pipilo erythrophthalmus,30.25955208,-84.60235241,Geoffrey A. Keller,4/21/92,ML,4
99331,Pipilo maculatus,40.0166667,-121,Randolph Little,6/3/92,ML,6
101028,Pipilo maculatus,32.35,-110.6666667,Charles Duncan,6/3/92,ML,6
105354,Pipilo erythrophthalmus,25.33002831,-80.89917701,Geoffrey A. Keller,5/8/94,ML,5
74908,Pipilo erythrophthalmus,42.29824336,-72.32620379,Curtis Marantz,5/11/94,ML,5
105449,Pipilo erythrophthalmus,32.59026815,-81.311612,Geoffrey A. Keller,6/3/94,ML,6
1253,Pipilo erythrophthalmus,39.9312,-74.6376,Don Jones,6/26/94,XC,6
85593,Pipilo erythrophthalmus,41.4666667,-70.5833333,Linda Macaulay,5/5/95,ML,5
126979,Pipilo maculatus,36.548,-117.4878,Richard E. Webster,5/12/95,XC,5
113757,Pipilo erythrophthalmus,41.29594992,-70.04026729,Curtis Marantz,5/19/95,ML,5
126764,Pipilo maculatus,36.2176,-118.04,Richard E. Webster,5/19/95,XC,5
127001,Pipilo maculatus,36.1916,-117.0854,Richard E. Webster,5/20/95,XC,5
187305,Pipilo maculatus,37.5226,-122.3423,Thomas G. Graves,5/21/95,XC,5
126697,Pipilo maculatus,35.268,-115.293,Richard E. Webster,5/25/95,XC,5
126663,Pipilo maculatus,35.5315,-115.5875,Richard E. Webster,5/27/95,XC,5
106691,Pipilo maculatus,41.75,-121.5166667,Randolph Little,6/1/95,ML,6
126658,Pipilo maculatus,37.4313,-118.1132,Richard E. Webster,6/2/95,XC,6
126700,Pipilo maculatus,37.2884,-118.1502,Richard E. Webster,6/2/95,XC,6
126709,Pipilo maculatus,32.8401,-117.0437,Richard E. Webster,6/11/95,XC,6
126695,Pipilo maculatus,35.6632,-118.0301,Richard E. Webster,6/23/95,XC,6
138372,Pipilo erythrophthalmus,27.18308821,-81.35462899,Gregory Budney,4/6/96,ML,4
105744,Pipilo erythrophthalmus,30.22956971,-84.66360102,Geoffrey A. Keller,5/10/96,ML,5
84749,Pipilo erythrophthalmus,39.4178615,-77.2069788,Wil Hershberger,4/3/97,ML,4
90427701,Pipilo erythrophthalmus,41.0341837,-96.3152504,Daniel Leger,4/29/97,ML,4
